k;a;b;length;ratio_prev_to_curr;x_test1;f_x_test1;x_test2;f_x_test2;cumulative_f_calls
1;-1.0;-0.3819660112503519;0.6180339887496481;;-0.7639320225007038;-0.9116558826186858;-0.6180339887496481;-0.7750710602236845;3
2;-1.0;-0.6180339887496481;0.3819660112503519;1.6180339887482036;-0.8541019662489443;-1.0487242687698077;-0.7639320225007038;-0.9116558826186858;4
3;-1.0;-0.7639320225007038;0.2360679774992962;1.6180339887543225;-0.9098300562517595;-1.1557415239081152;-0.8541019662489443;-1.0487242687698077;5
4;-1.0;-0.8541019662489443;0.1458980337510557;1.6180339887383028;-0.9442719099971848;-1.2309221874249878;-0.9098300562517595;-1.1557415239081152;6
5;-1.0;-0.9098300562517595;0.0901699437482405;1.6180339887802428;-0.9655581462545747;-1.280962921008621;-0.9442719099971848;-1.2309221874249878;7
6;-1.0;-0.9442719099971848;0.0557280900028152;1.6180339886704427;-0.9787137637426101;-1.3132851060998916;-0.9655581462545747;-1.280962921008621;8
7;-1.0;-0.9655581462545747;0.0344418537454253;1.6180339889579034;-0.9868443825119646;-1.333801178443832;-0.9787137637426101;-1.3132851060998916;9
8;-1.0;-0.9787137637426101;0.0212862362573899;1.6180339882053216;-0.9918693812306456;-1.346688648465263;-0.9868443825119646;-1.333801178443832;10
9;-1.0;-0.9868443825119646;0.013155617488035398;1.6180339901756062;-0.994975001281319;-1.3547333160679984;-0.9918693812306456;-1.346688648465263;11
10;-1.0;-0.9918693812306456;0.008130618769354392;1.6180339850173562;-0.9968943799493266;-1.359735755376272;-0.994975001281319;-1.3547333160679984;12
11;-1.0;-0.994975001281319;0.005024998718681006;1.6180339985218082;-0.9980806213319924;-1.362839128161945;-0.9968943799493266;-1.359735755376272;13
12;-1.0;-0.9968943799493266;0.0031056200506733855;1.6180339631666938;-0.9988137586173342;-1.364761589613586;-0.9980806213319924;-1.362839128161945;14
13;-1.0;-0.9980806213319924;0.0019193786680076208;1.6180340557275876;-0.999266862714658;-1.3659514464170102;-0.9988137586173342;-1.364761589613586;15
14;-1.0;-0.9988137586173342;0.0011862413826657647;1.6180338134000378;-0.9995468959026762;-1.3666874701476721;-0.999266862714658;-1.3659514464170102;16
15;-1.0;-0.999266862714658;0.0007331372853419671;1.6180344478216657;-0.9997199668119818;-1.367142609719544;-0.9995468959026762;-1.3666874701476721;17
16;-1.0;-0.9995468959026762;0.00045310409732379764;1.6180327868852882;-0.9998269290906944;-1.3674239930383223;-0.9997199668119818;-1.367142609719544;18
17;-1.0;-0.9997199668119818;0.00028003318801816945;1.6180371352784042;-0.9998930377212875;-1.3675979399847038;-0.9998269290906944;-1.3674239930383223;19
18;-1.0;-0.9998269290906944;0.00017307090930562818;1.6180257510732505;-0.9999338913694069;-1.3677054492004053;-0.9998930377212875;-1.3675979399847038;20
19;-1.0;-0.9998930377212875;0.00010696227871254127;1.6180555555547986;-0.9999591463518807;-1.3677719147583212;-0.9999338913694069;-1.3677054492004053;21
20;-1.0;-0.9999338913694069;6.610863059308691e-05;1.617977528091869;-0.9999747450175263;-1.367812969043607;-0.9999591463518807;-1.3677719147583212;22
21;-1.0;-0.9999591463518807;4.085364811934333e-05;1.6181818181810277;-0.9999844013343544;-1.3678383843776136;-0.9999747450175263;-1.367812969043607;23
22;-1.0;-0.9999747450175263;2.525498247374358e-05;1.6176470588255982;-0.9999903436831719;-1.3678540248782802;-0.9999844013343544;-1.3678383843776136;24
23;-1.0;-0.9999844013343544;1.5598665645599752e-05;1.6190476190421963;-0.9999940576511827;-1.367863800305382;-0.9999903436831719;-1.3678540248782802;25
24;-1.0;-0.9999903436831719;9.65631682814383e-06;1.615384615398766;-0.9999962860319892;-1.367869665603804;-0.9999940576511827;-1.367863800305382;26
25;-1.0;-0.9999940576511827;5.9423488173449e-06;1.6249999999929938;-0.9999977716191935;-1.3678735758203189;-0.9999962860319892;-1.367869665603804;27
26;-1.0;-0.9999962860319892;3.7139680107989292e-06;1.600000000017936;-0.9999985144127956;-1.3678755309338466;-0.9999977716191935;-1.3678735758203189;28
27;-1.0;-0.9999977716191935;2.228380806545971e-06;1.6666666666168448;-0.9999992572063978;-1.3678774860508878;-0.9999985144127956;-1.3678755309338466;29
28;-1.0;-0.9999985144127956;1.4855872043639806e-06;1.5;-0.9999992572063978;-1.3678774860508878;-0.9999992572063978;-1.3678774860508878;30
29;-0.9999992572063978;-0.9999985144127956;7.427936021819903e-07;2.0;-0.9999992572063978;-1.3678774860508878;-0.9999985144127956;-1.3678755309338466;31
